店铺名称,人均消费,分类名称,所在区域,口味评分,环境评分,服务评分,商品编号,店铺星级
Home Thai·泰谣,146,泰国菜,西单,8.8,8.8,9.0,97989858,45
狂药·蔷薇精酿啤酒餐吧,139,西餐,丰台区,9.0,9.1,9.2,122489386,50
Q Mex Bar & Grill库迈墨西哥餐吧,139,西餐,三里屯,9.1,9.0,9.0,6027383,50
大董,444,烤鸭,三里屯,9.0,9.2,9.0,13745584,50
马路边边串串香,101,串串香,五棵松,8.9,9.0,8.7,130593653,45
八旗烤肉,100,融合烤肉,什刹海,9.2,8.6,9.1,28576064,50
铃木食堂,95,日本料理,前门,9.0,9.1,9.0,14753184,50
罗兰湖餐厅,206,韩国料理,酒仙桥,8.7,9.3,9.1,19210686,50
珍海肴海鲜自助餐厅,205,自助餐,朝阳区,9.0,9.0,9.0,130312531,45
喜茶,40,茶饮果汁,五棵松,9.1,9.1,9.0,127615351,50
天桥老金涮肉,93,老北京火锅,前门,8.9,7.4,8.1,11553775,45
大黄家柴犬主题咖啡店,88,咖啡厅,三里屯,8.3,8.7,9.0,130923008,45
Cafe Ruhe 如何餐厅,192,西餐,三里屯,9.1,9.1,9.2,76840258,50
宣南居餐厅,40,家常菜,北京西站/六里桥,8.9,8.2,8.7,22363547,45
街头烤牛肉,107,融合烤肉,青年路,9.1,8.5,8.8,123681005,50
Tomacado花厨,205,西餐,王府井/东单,8.7,9.3,9.1,97329886,50
ATTA BJ,268,意大利菜,国贸,8.2,9.1,8.5,90096032,45
隐厨,151,湘菜,三里屯,8.8,9.2,9.0,66586585,50
dotcom bakery 古点面包,56,面包烘焙,亮马桥/三元桥,9.0,8.7,9.0,91691950,50
KODO可多 Gift&Cafeteria,90,咖啡厅,地安门,8.2,9.0,8.5,19001582,45
炉鲜张打边炉,131,打边炉/港式火锅,安贞,9.1,9.0,9.1,127960431,50
聚十三地摊烤牛肉,133,融合烤肉,十里堡,8.8,8.6,8.8,120068272,45
桐寿司Sushi Tong,3240,日本料理,工人体育场,9.1,9.3,9.3,75187097,50
京彩臻品餐厅,345,打边炉/港式火锅,大望路,9.1,9.3,9.2,130788738,50
伙伴日式烤肉,158,日式烧烤/烤肉,东直门,9.1,9.1,9.1,20843410,50
鲸一食堂,109,日本料理,望京,8.6,8.5,8.5,79608412,45
Migas Mercado米家思,328,西餐,国贸,7.5,9.1,8.0,92053891,40
W.Restaurant白房子火车餐厅,113,西餐,双井,8.6,9.1,9.0,130085327,50
攀成钢小郡肝串串香,112,串串香,五道口,9.2,9.0,9.1,101215780,50
火烧云傣家菜,105,云南菜|滇菜,朝阳公园/团结湖,9.0,8.9,8.8,27275925,50
后海16号私房菜·露台小火锅,170,私房菜,什刹海,8.8,9.1,9.0,3144925,50
三五堂,173,自助餐,国贸,8.5,9.1,8.9,92047942,45
七八冷面,68,韩国料理,远大路,8.9,8.7,8.8,67015135,45
椒鸣椒麻小馆·浩瀚星空,81,特色菜,魏公村,9.3,9.3,9.3,130985844,50
东江人家,92,粤菜馆,对外经贸,8.9,7.5,7.8,5136742,45
The Georg,511,西餐,地安门,8.9,9.3,8.9,32651315,50
门框胡同百年卤煮,46,老北京小吃,新街口,8.8,8.1,8.3,5724122,45
Bada kitchen,124,日本料理,中关村,9.0,9.2,9.3,23658039,50
天坛街自助餐厅,121,自助餐,崇文门,8.3,9.1,9.0,13790460,45
成都葫芦娃一家人火锅,157,四川火锅,三里屯,9.0,9.1,8.9,59431302,50
小红袍香港私房火锅料理,336,火锅,王府井/东单,9.1,9.2,9.0,98896255,50
熔时·FIRESIDE,144,创意菜,朝外大街,9.0,9.1,9.0,77589258,50
盘古七星酒店·聚福园自助餐厅,670,自助餐,亚运村,8.2,9.0,9.0,2901988,45
青山研究所Aoyama Lab,62,甜品,三里屯,7.7,8.5,8.2,102409937,40
火炉火自助餐,83,韩国料理,五道口,8.6,8.1,8.3,21286307,45
The Cheesecake Factory 芝乐坊餐厅,199,西餐,王府井/东单,9.0,9.0,8.8,97569570,45
牛排家,333,牛排,亮马桥/三元桥,9.2,9.3,9.1,97338850,50
SPACELAB失重餐厅,145,西餐,蓝色港湾,8.0,9.1,8.6,72348890,45
风铃酒馆,116,创意菜,南锣鼓巷/鼓楼东大街,9.0,9.2,9.1,79620858,50
SHANG BAR上餐吧,238,创意菜,前门,8.0,9.1,8.4,18333795,45
兰熊鲜奶,21,茶饮果汁,西直门/动物园,9.0,8.7,8.9,112185338,50
% Arabica,46,咖啡厅,三里屯,8.3,7.7,8.4,130359725,40
北平花园,231,西餐,前门,8.4,9.2,9.0,90947193,45
花家怡园,184,京菜,北新桥/簋街,8.2,8.9,8.2,507755,45
海拌,50,私房菜,三里屯,8.8,8.5,9.0,79306909,50
YAO望ENJOY35%NITROCOLDBREW,102,咖啡厅,望京,8.3,8.8,8.7,98454812,45
新疆饭庄,86,新疆菜,西直门/动物园,8.5,7.5,7.6,512888,45
俄士厨房,142,俄罗斯菜,五棵松,9.1,9.2,9.0,93641597,50
捷信牛奶甜品世家,38,甜品,五道口,8.1,8.2,7.8,130180008,40
海底捞火锅智慧餐厅,146,四川火锅,朝外大街,9.1,9.3,9.2,123603289,50
很久以前羊肉串,120,烧烤,北新桥/簋街,9.1,9.1,9.2,19141068,50
鹤一烤肉主题餐厅,166,自助餐,中关村,9.1,9.0,9.0,38114833,50
LELECHA乐乐茶,35,面包烘焙,百子湾,8.5,8.3,8.2,102117465,45
感性食堂·국가대포집,89,韩国料理,望京,8.6,8.4,9.1,121551158,45
电台巷火锅,117,重庆火锅,天河区,8.1,8.1,8.4,126943055,40
Mr.Fish鱼鲜生海鲜放题,342,自助餐,高德置地/花城汇,8.9,9.1,9.0,32501719,45
小核桃烤肉馆,164,融合烤肉,珠江新城,8.2,8.2,7.7,129874522,40
炳胜品味,172,粤菜馆,珠江新城,8.6,9.1,8.3,2954893,45
摩打食堂,110,日本料理,石牌/龙口,9.1,9.1,9.2,108302872,50
文和友龙虾馆,130,小龙虾,北京路,7.9,8.2,7.9,114003403,40
孖记士多,55,广州菜,中山七八路,7.3,6.4,6.5,130319025,35
极炙·台灣精致炭火烤肉,217,日式烧烤/烤肉,天河城/体育中心,9.1,8.7,9.2,66250176,50
惠食佳,162,粤菜馆,区庄/动物园,9.0,8.5,8.0,518037,45
那都不是锅港式打边炉,144,打边炉/港式火锅,五羊新城,9.1,8.9,9.1,129989146,50
味之绝美蛙鱼头火锅,71,四川火锅,东晓南,8.9,8.6,8.7,127970510,45
COLINMINT簡悅廚,93,西餐,江南西,8.5,8.4,8.3,20709213,45
强记龙虾钳,129,海鲜,越秀区,8.1,7.1,8.0,112527856,40
小炳胜,109,粤菜馆,天河城/体育中心,8.3,8.6,8.4,90339417,40
表哥好味鹅,133,粤菜馆,南村,9.1,7.5,7.9,4016347,45
79号渔船海鲜主题饭店,192,海鲜,天河北,8.8,8.9,8.3,101920339,45
HOTFINGERS海鸡,79,韩国料理,江南西,8.9,8.8,9.0,129681206,45
银灯食府,75,广州菜,北京路,8.7,8.1,7.8,520453,45
米倉食堂,64,日本料理,天河城/体育中心,8.7,8.7,9.1,129376847,45
滋粥楼,152,顺德菜,南村,8.9,9.0,8.8,13786811,45
花开米上韩国料理,64,韩国料理,北京路,8.5,8.6,9.0,130016863,45
肥豚·炭烧,102,东南亚菜,天河城/体育中心,8.4,8.5,8.4,108342255,45
鲍师傅糕点,37,面包烘焙,石牌/龙口,8.1,7.6,7.5,124743294,40
撚手食堂,66,广州菜,天河北,8.8,8.8,9.1,131006618,45
水哥卜卜贝,72,海鲜,东晓南,8.4,7.5,7.7,126838908,40
陈记沙茶面,14,快餐简餐,中山七八路,7.9,6.5,7.8,68987024,40
点都德,90,广州菜,钟村,9.1,9.1,8.7,113896226,50
平又鲜蟹馆,214,海鲜,天河公园,8.6,7.0,7.6,66115443,40
那未大叔是大厨,134,广州菜,兴盛路/跑马场,9.0,9.1,9.2,123847268,50
速度披萨·首创魔鬼芝士披萨,93,西餐,珠江新城,8.9,9.1,9.0,92481297,45
Mark&Mars café,88,西餐,天河城/体育中心,8.2,7.8,7.7,65333790,40
南京大牌档,60,南京菜,江南大道,8.8,9.0,9.1,130387748,45
王品牛排,389,西餐,天河城/体育中心,8.9,9.1,9.2,3126163,50
松发肉骨茶SongFa,84,东南亚菜,天河城/体育中心,8.9,8.8,9.2,129033485,45
松月自慢料理,346,日本料理,珠江新城,9.0,9.3,9.1,92411666,50
咏藜园·香港米其林餐厅,87,粤菜馆,天河城/体育中心,8.1,7.8,7.9,102973511,40
猪肠仔风味店,17,小吃,越秀区,8.6,7.3,7.5,16969725,40
宋·川菜,240,川菜家常菜,珠江新城,8.3,9.3,8.9,93377592,45
海底捞火锅,130,火锅,天河城/体育中心,9.0,9.1,9.2,21954765,50
陶陶居酒家,105,粤菜馆,天河城/体育中心,8.9,8.9,8.5,23461615,45
the eating table,157,西餐,珠江新城,8.2,9.0,8.3,23460688,40
小正泰·东南亚轻食,59,泰国菜,天河城/体育中心,8.5,8.5,8.4,126086577,45
毕德寮,97,粤菜馆,珠江新城,8.7,9.1,8.7,91009319,45
吴系茶餐厅,93,茶餐厅,石牌/龙口,8.4,8.2,7.6,3151891,45
海晏楼,126,粤菜馆,滨江路,8.5,7.9,7.7,13917869,40
禄运茶居•拔草餐厅,63,广州菜,天河城/体育中心,8.6,8.2,8.3,69810563,45
广九餐室,46,茶餐厅,中山二三路/东山口,8.5,7.9,7.5,18240797,45
gaga鲜语,73,茶饮果汁,天河城/体育中心,8.4,9.0,8.7,113089920,45
烧喜日式烤肉放题,146,烧烤,北京路,8.3,8.1,8.0,101622238,40
常来小聚,73,广州菜,珠江新城,8.6,8.6,7.9,98775621,45
潮福餐馆,85,潮汕菜,滨江路,8.2,6.6,7.1,2594575,40
四海一家,155,自助餐,南村,7.4,8.0,7.3,520725,40
亞當咖啡,35,咖啡厅,北京路,8.7,9.0,9.1,130725875,45
有间虾铺,160,小龙虾,珠江新城,8.7,8.5,8.6,75625534,45
粤陈记煲仔粥,82,海鲜火锅,南村,8.7,6.8,7.4,122417356,40
扎實大牌檔,121,粤菜馆,工业大道,8.8,9.0,9.0,126914365,45
度小月 · 半小时吃遍台湾,80,台湾菜,珠江新城,7.7,7.7,7.9,22169006,40
大鸽饭,86,粤菜馆,北京路,8.8,9.1,8.8,114884627,45
Mercato莫卡多露台餐厅与酒吧,432,意大利菜,珠江新城,8.7,9.2,9.0,98383015,45
LECHAMAX超级乐茶,28,面包烘焙,珠江新城,8.3,8.3,8.1,93461160,40
get holiday 夹脚鞋与鱼子酱,183,西餐,天河北,8.5,9.1,8.9,112084956,45
白天鹅宾馆·流浮阁咖啡厅,375,自助餐,沙面,8.7,9.2,9.1,519416,50
南信牛奶甜品专家,26,甜品,上下九,8.4,7.4,7.3,518986,40
富临食府,68,粤菜馆,北京路,8.3,6.9,7.3,517659,40
香兰印尼餐厅 Pandan,68,东南亚菜,中山二三路/东山口,8.2,8.5,8.3,98190755,40
大头虾越式风味,80,越南菜,北京路,8.3,7.7,7.5,2290345,45
COMMUNE,99,西餐,珠江新城,8.3,8.9,8.0,107798028,45
星樾城·东南亚餐厅,78,泰国菜,天河城/体育中心,8.6,9.1,8.3,127178501,45
狎鸥亭韩国料理,60,韩国料理,天河城/体育中心,7.3,6.9,7.2,68171987,35
HAVANA·生蚝海鲜放题餐吧,177,自助餐,天河北,8.7,9.0,8.4,102103531,45
丘大6仔记餐厅,59,粤菜馆,滨江路,8.3,7.3,7.4,27058682,40
