店铺名称,人均消费,分类名称,所在区域,口味评分,环境评分,服务评分,商品编号,店铺星级
石上百味,54,南京/江浙菜,夫子庙地区,9.0,8.8,8.9,92094174,45
SALSA MEX 莎莎·麦克西,61,西餐,新街口地区,9.1,8.5,9.1,90912774,50
芳村榕樹頭·廣州排檔,135,广州菜,奥体中心,8.5,8.2,8.5,129782708,45
盛江山自助烤肉,89,自助餐,百家湖,8.9,8.9,8.8,93487366,45
寻魏•金陵十二菜,201,淮扬菜,夫子庙地区,8.9,9.2,9.1,98432388,50
晶丽海鲜自助餐厅,192,自助餐,紫金山/孝陵卫,9.1,9.3,9.2,33615364,50
十朝院子,89,南京/江浙菜,升州路/集庆路,8.6,8.7,8.5,90428135,45
盱眙红大龙虾,191,小龙虾,夫子庙地区,9.0,8.8,8.9,97707595,50
长江新村馄饨,8,馄饨,鼓楼区,8.7,7.2,8.2,38089218,45
大蔬无界·南京德基广场美素馆,208,素食,新街口地区,9.1,9.3,9.2,19348893,50
民国红公馆,230,淮扬菜,新街口地区,8.8,9.1,8.8,99354562,45
米纸越南小馆·PHO,65,东南亚菜,新街口地区,9.0,9.0,9.0,58416726,50
蚝鲜生加油站,108,江河湖海鲜,建邺区,8.4,8.2,8.1,130983519,40
大麦·鸽王,46,粤菜馆,新街口地区,9.1,8.1,8.8,111808902,50
湊湊火锅·茶憩,156,火锅,新街口地区,9.1,9.2,9.1,110828812,50
嘻游记·烧肉,134,融合烤肉,奥体中心,8.7,8.5,7.9,130580985,45
暗恋桃花源,91,苏浙菜,新街口地区,8.6,9.2,9.0,112206488,45
Bopeye 80'波派炸鸡&啤酒,64,韩国料理,新街口地区,9.1,9.0,9.1,22792468,50
清真巴旺烧烤,67,烧烤,应天大街/文体路,9.1,7.9,8.3,68233449,45
多哩小馆,81,家常菜,常府街/长白街,8.8,8.7,8.4,539403,45
海底捞火锅,130,火锅,应天大街/文体路,9.3,9.3,9.3,97792952,50
寻魏·随園,322,淮扬菜,夫子庙地区,9.2,9.4,9.2,112569766,50
鸡包渔,137,汤锅,常府街/长白街,9.1,8.7,8.9,59439540,50
老头儿油爆虾,79,浙菜,应天大街/文体路,9.0,9.0,9.1,94797796,50
馨罗朝鲜冷面,32,快餐简餐,珠江路沿线,8.1,7.9,7.8,13893554,40
从你的全世界路过,105,创意菜,新街口地区,7.8,8.9,8.4,32675893,40
康玺·遇海海鲜姿造,391,自助餐,奥体中心,8.4,8.6,8.6,98273458,45
BISTRO CACO,113,西餐,新街口地区,8.8,9.1,9.1,98184857,45
iris.霓光食界,53,西餐,南大/南师大,9.1,9.2,9.1,124555658,50
喜粤壹號,118,粤菜馆,集庆门大街,8.5,8.8,8.5,113156986,45
多伦多海鲜自助餐厅,111,自助餐,珠江路沿线,8.6,8.7,8.7,67325291,45
曹宽粑粑坊,33,面包烘焙,常府街/长白街,8.7,8.2,8.1,129665973,40
郭阿姨月亮馍,10,快餐简餐,新街口地区,8.6,8.5,8.8,131415723,45
FISH BAG 鱼袋 Poke Eats 波奇碗,53,西餐,常府街/长白街,9.2,9.3,9.3,94309168,50
袁亮宏専業餃子雲吞,27,饺子,常府街/长白街,9.0,8.8,8.6,93765829,45
梅苑,334,淮扬菜,新街口地区,9.1,9.2,9.3,65574669,50
喜茶,30,茶饮果汁,新街口地区,9.1,9.1,8.9,122286531,50
螺丝找虾,185,小龙虾,升州路/集庆路,9.2,8.8,9.1,57237736,50
美蛙仔,76,川菜家常菜,江宁科学园,9.1,9.2,9.2,130584232,50
重庆叮叮唐冷锅鱼,87,自助餐,莫愁湖/水西门,9.2,9.1,9.2,97715077,50
深夜屋里食堂-深夜食堂,126,日式简餐/快餐,湖南路,9.2,8.9,9.2,17854766,50
L'Arôme芳芳法餐厅,332,西餐,新街口地区,9.0,9.2,9.2,18288190,50
老头爱马仕酸豇豆炒饭,26,快餐简餐,新街口地区,8.1,7.5,7.9,8053227,40
甜小兔tiyo's cake蛋糕店,74,面包烘焙,建邺万达,9.1,9.0,9.1,72454268,50
解牛·围炉烧肉,157,日本料理,夫子庙地区,9.1,9.1,9.0,126426333,50
第一次见面,40,面馆,雨花台区,9.1,9.2,9.2,126239350,50
熊猫老灶火锅,119,四川火锅,观前街地区,8.9,9.1,9.0,127651435,45
文和友老长沙龙虾馆,143,小龙虾,观前街地区,8.6,8.6,8.6,102088758,45
马头巷1·超声波红油龙虾,134,小龙虾,姑苏区,9.3,9.2,9.2,128270904,50
哥老官重庆美蛙鱼头,120,鱼火锅,东方之门,9.2,9.1,9.2,126049738,50
品泰·泰国餐厅,103,东南亚菜,博览中心,8.7,9.1,9.0,130195041,45
龙鲜会·澳门生鲜火锅,179,火锅,博览中心,9.0,9.1,9.0,123931947,45
老苏州大客堂·特色小吃,68,苏帮菜,观前街地区,8.0,8.4,8.0,21589704,40
绿丰园农家菜·阳澄湖农家乐,88,农家菜,唯亭,9.2,9.1,9.2,93497043,50
泰加泰式概念餐厅,142,东南亚菜,苏州中心,9.1,9.2,9.0,96529201,50
茗香楼•精品餐厅,502,粤菜馆,苏州乐园,9.2,9.3,9.2,98285415,50
山水蟹庄·阳澄湖农家乐,145,农家菜,阳澄湖大闸蟹舫,9.1,9.1,9.1,91964290,50
DORADO·黄金国度音乐餐厅,287,西式正餐,苏州中心,9.0,9.2,9.1,97241978,50
澳门星记猪骨,134,火锅,博览中心,9.0,9.1,9.0,123474911,50
南虾北羊龙虾馆,166,小龙虾,塔园路,8.8,8.5,8.7,79709476,45
暖食,56,创意菜,观前街地区,8.9,9.0,9.2,79624217,50
巴四老城区炭火蛙锅,98,炭火锅,现代传媒广场,9.1,9.2,9.2,112160659,50
峯烧鸟しんやしょくどう,152,日本料理,苏州中心,9.1,9.2,9.1,127848137,50
洋洋中餐馆,130,苏帮菜,李公堤,8.9,9.1,8.7,19110508,45
电台巷火锅,109,重庆火锅,观前街地区,8.6,9.0,9.1,129893315,45
蚝有压力,74,海鲜,独墅湖大学城,8.5,8.6,8.3,130944307,45
臻品粤茶餐厅,97,茶餐厅,苏州中心,9.0,8.9,8.8,20666384,45
藤·精致料理,447,日本料理,苏州中心,9.1,9.2,9.2,126771915,50
山水湾湖景农家乐·民宿,82,农家菜,太湖东山,9.2,9.1,9.2,66130028,50
初见·玉腿坊,81,创意菜,新天地,9.0,9.0,9.1,94024206,50
渔乐圈海鲜自助餐厅,140,自助餐,龙湖狮山天街,8.8,9.0,9.0,113147919,45
少東家面中贵族,44,面馆,观前街地区,9.0,8.9,9.0,130272405,45
苏枕河精致苏帮菜,77,苏帮菜,山塘街,8.5,8.9,8.8,125239629,45
蒋先生茶餐厅,69,茶餐厅,圆融时代广场,9.0,8.9,8.8,92400777,50
江南雅厨,178,苏浙菜,李公堤,9.2,9.4,9.2,123757089,50
九座,1590,日本料理,苏州中心,9.2,9.3,9.3,98800455,50
外婆印象休闲农庄,85,农家菜,太湖东山,8.7,8.8,8.7,4509020,45
味道龙虾私房菜馆,151,小龙虾,三香路沿线,9.1,8.7,9.0,20658797,50
半糖½Azucar Gastro Lounge,474,西餐,苏州中心,8.8,9.2,9.2,112203260,50
鱼市浜烧蟹类·海鲜烧,168,日本料理,狮山地区,9.2,9.1,9.2,23631152,50
丸藏和牛烧肉,202,日式烧烤/烤肉,苏州中心,9.1,8.7,9.0,68937667,50
隐庐居·私房菜·龙虾,140,小龙虾,金鸡湖商业广场,9.0,9.0,8.9,68198227,50
小摘茶铺,17,茶饮果汁,观前街地区,9.3,9.2,9.3,130653381,50
鹿十·鮨,244,日本料理,博览中心,9.3,9.3,9.3,129432705,50
泰爷泰式火锅,112,泰式火锅,石路地区,9.1,9.1,9.2,125165107,50
喜来春,101,农家菜,太湖西山,9.1,9.0,8.7,10522291,50
太二酸菜鱼,84,酸菜鱼/水煮鱼,苏州中心,9.0,9.1,9.2,125061784,50
一炭一炉·烤肉·小龙虾,99,韩式烤肉,石路地区,9.0,8.6,9.1,98665193,50
暗恋桃花源,95,浙菜,苏州中心,8.7,9.1,9.0,97192599,45
水天堂西餐厅,86,西餐,苏州中心,8.6,9.0,8.7,127181289,45
食止·冷锅串,62,川菜家常菜,苏州中心,9.0,8.8,8.8,96480844,45
掌柜蚝宅,84,海鲜,观前街地区,8.9,8.9,9.0,122795120,45
丰茂烤串,111,烤串,苏州中心,9.2,9.1,9.2,20714647,50
Spacelab失重餐厅,125,西式简餐,苏州中心,8.1,9.1,8.7,102024804,45
老东门精致苏帮菜,61,苏帮菜,平江路,8.6,8.6,8.8,9190531,45
醉蚝坊,100,海鲜,湖东邻里中心,9.0,8.9,8.8,26989575,45
付小姐在成都,75,串串香,苏州中心,9.1,9.1,9.1,92835865,50
两个庆火锅公司,86,重庆火锅,观前街地区,8.6,8.5,8.5,125951795,45
青玉案.私房雅宴,399,私房菜,沧浪新城,9.2,9.4,9.1,98323834,50
高庭粤·鲜入围煮,128,打边炉/港式火锅,景德路沿线,9.0,8.6,8.8,101543509,45
雲湖岚院特色农家乐,144,农家菜,太湖东山,9.2,9.3,9.3,76756454,50
那些年一起吃串的地方烧烤,64,烤串,观前街地区,8.7,9.1,9.0,98678823,45
新梅华餐厅,88,苏帮菜,苏州中心,9.1,9.0,8.8,97254766,50
喜茶,30,茶饮果汁,苏州中心,9.0,8.9,8.6,97066042,45
小园楼,80,苏帮菜,拙政园,8.7,7.8,8.1,4713978,45
福鼎小吃,20,包子,十全街/凤凰街,8.5,7.7,8.3,68240687,45
汴京茶寮,27,茶饮果汁,吴江其他,7.1,7.1,7.0,130800578,35
辣三多重庆蛙锅,94,炭火锅,景德路沿线,8.8,8.8,8.7,92469798,45
朱洪元苏式面馆,102,面馆,枫桥地区,8.7,8.4,8.7,66870791,45
谭鸭血老火锅,105,四川火锅,博览中心,7.8,8.4,8.3,129847595,40
爱舍·梵美里·家庭厨房,122,西餐,苏州中心,9.1,9.2,9.2,96292037,50
金府,79,苏帮菜,平江路,8.9,8.5,8.9,103615713,45
永豐食集台北篇,62,台湾菜,博览中心,8.3,8.7,8.6,111542791,45
古洋食坊,106,茶餐厅,苏州中心,9.0,9.1,9.1,92522109,50
追夜小酒肆,83,苏浙菜,木渎地区,9.0,9.2,9.0,98713388,50
哑巴生煎,19,生煎/锅贴,观前街地区,8.5,8.1,7.7,2036530,45
裕兴记,78,面馆,景德路沿线,9.0,8.8,9.0,124463486,50
有拈头成都市井火锅,75,火锅,观前街地区,9.0,9.0,8.9,130812412,50
胖哥鱿鱼,30,烧烤,新天地,9.2,8.4,8.7,80530118,50
桂满陇·西湖船宴,90,浙菜,圆融时代广场,8.6,9.2,8.9,102523618,45
绛心·日本料理,74,日本料理,观前街地区,9.1,9.1,9.1,114536170,50
美虾美蟹,155,小龙虾,湖东邻里中心,9.3,9.3,9.2,129841455,50
老枫庭,96,苏帮菜,木渎地区,9.0,9.2,8.9,93633157,50
万福日式碳火烤肉,172,日式烧烤/烤肉,苏州中心,8.8,9.1,9.0,96528325,45
海底捞火锅,129,火锅,苏州中心,9.3,9.3,9.3,19160789,50
裕兴记面馆,90,面馆,石路地区,9.0,8.6,8.8,18040341,45
祖母的厨房西餐厅,133,西式正餐,龙湖狮山天街,9.0,9.2,9.1,16816429,50
唯食 Brunch with,140,西餐,苏州中心,8.4,9.0,9.0,98495302,45
一乐韩国炸鸡,63,韩国料理,博览中心,9.2,9.1,9.1,18180078,50
simply thai天泰,163,东南亚菜,苏州中心,9.1,9.1,9.1,98075326,50
小南莊,59,苏浙菜,南门,9.0,8.6,8.5,127617023,45
粉越·西贡越南餐厅,69,东南亚菜,龙湖狮山天街,8.6,9.0,8.6,95357116,45
晚芳亭·赏湖餐厅农家乐,151,农家菜,莲花岛,9.3,9.2,9.3,110308606,50
思烤家·韩国核桃碳烤肉,105,韩国料理,苏州中心,9.1,9.1,9.1,110862888,50
多伦多海鲜自助餐厅,106,自助餐,吴江其他,6.8,6.8,6.8,131063457,30
中茵皇冠假日酒店圣汐西餐厅,263,自助餐,苏州中心,9.0,9.3,9.2,3336841,50
源氏日本料理·蟹蟹爱,212,日本料理,宝裕广场,9.1,9.2,9.1,3465259,50
GoldenOlivesgr希腊餐厅,106,西式简餐,苏州中心,8.3,9.0,8.8,103559534,45
马头巷2·超声波红油龙虾,129,小龙虾,景德路沿线,9.2,9.2,9.2,95586471,50
有时无界,99,茶餐厅,苏州中心,8.9,9.2,9.0,96060458,50
年轮烧烤·龙虾·碳火牛蛙,89,烤串,苏州中心,8.7,9.0,8.9,98639021,45
星洲小馆,68,东南亚菜,松陵,7.6,7.6,7.5,130803274,35
岚柚日式自助料理,127,日式自助,陆慕元和,8.8,8.7,8.7,102044721,45
重庆德庄火锅,90,重庆火锅,观前街地区,8.3,8.1,8.0,128432958,40
千禧家玉米燃料·创意烤肉,81,韩式烤肉,金鸡湖商业广场,8.7,8.8,8.8,128348048,45
恩你小木屋米酒店,84,韩国料理,观前街地区,8.2,9.0,8.6,129675973,40
巴蜀大将火锅,96,四川火锅,武侯祠,8.7,9.1,8.7,98062791,45
马旺子·川小馆,107,川菜家常菜,春熙路,8.5,9.1,8.9,58137369,45
成都吃客,87,川菜家常菜,宽窄巷子,9.0,7.7,8.6,23093707,45
谭鸭血老火锅,87,四川火锅,春熙路,8.5,8.6,8.4,98759587,45
叶婆婆钵钵鸡,47,钵钵鸡,春熙路,8.5,8.7,8.3,101934093,45
Mr·Fish鱼鲜生海鲜放题,400,自助餐,高新区,8.9,9.1,9.0,80620237,45
WE HOUSE维豪斯,132,西餐,高新区,9.0,9.2,9.0,90085699,50
陈艳红市井火锅,71,四川火锅,科华北路,8.7,8.3,9.0,130414008,45
子非,1029,川菜家常菜,宽窄巷子,8.7,9.2,9.2,2461336,50
饕林餐厅,76,川菜家常菜,盐市口,9.0,8.9,9.0,90343673,45
南大门韩糕,16,韩式小吃,科华北路,7.6,7.7,8.0,127672110,40
园里火锅,146,四川火锅,高新区,8.8,9.3,9.0,99094746,50
鸡毛店,64,川菜家常菜,玉林,9.1,8.9,8.8,90043481,50
烤匠麻辣烤鱼,93,烤鱼,春熙路,9.0,9.1,8.7,92551280,45
竹涟烧肉·日式烤肉,109,日式烧烤/烤肉,春熙路,9.1,9.2,9.1,124062175,50
陶德砂锅,53,川菜家常菜,蜀汉路,9.1,9.1,9.2,102795365,50
黄孃甜不辣,33,烧烤,玉林,8.1,6.8,7.5,10333057,40
疯狂烤翅,34,烤翅,双楠,8.2,7.6,8.2,16192885,40
么哈Mojar,59,西餐,科华北路,9.0,9.0,9.0,93942143,50
天干兔燥,76,江湖菜,高新区,8.5,9.0,9.0,121559188,45
冒椒火辣,63,串串香,宽窄巷子,9.0,7.8,8.3,13810171,45
陈麻婆豆腐旗舰店,64,川菜家常菜,杜甫草堂,8.6,9.1,8.6,529362,45
蚝英雄·自助烤蚝店,99,融合烤肉,红星路,7.7,7.6,7.7,129847758,40
豪虾传龙虾馆,104,小龙虾,春熙路,8.5,8.5,8.8,6148595,45
明婷饭店,59,川菜家常菜,太升路,8.3,6.9,7.5,2068327,40
都氏二当家·木系,170,云南菜|滇菜,锦华万达,8.4,9.2,8.7,48022346,45
集渔·泰式海鲜火锅,120,东南亚菜,春熙路,9.0,9.2,9.2,100090279,50
肉桂厨房CINNAMON,59,东南亚菜,青羊区,9.0,7.7,8.5,108140744,45
鮨·初雲,1391,日本料理,春熙路,9.1,9.1,9.1,124475263,50
喜茶,32,茶饮果汁,春熙路,8.7,8.7,8.4,113080735,45
浅草肆·深夜食堂,168,日本料理,双楠,8.4,9.1,8.9,114799442,45
不站花胶鸡,168,汤锅,大业路,9.0,9.0,8.8,120181627,45
西月城谭豆花,19,豆花,春熙路,8.6,8.5,8.5,24914363,45
雷门MOJOC·火锅,96,重庆火锅,春熙路,8.5,9.2,9.1,114636827,45
FIELDS 十域,123,西餐,大慈寺,8.3,9.0,8.2,82825987,45
蜀大侠火锅,97,四川火锅,春熙路,9.0,9.0,8.5,58322041,45
武士的牛,234,日式烧烤/烤肉,双楠,9.2,9.2,9.2,120001023,50
夏威夷全球海鲜姿造,282,自助餐,高新区,8.7,9.0,8.8,92678240,45
红辣椒,93,川菜家常菜,桐梓林,9.1,9.2,9.4,66526423,50
上宴精品海鲜姿造,396,海鲜,春熙路,8.8,9.0,9.0,90464735,45
喳哇牛油串串,68,串串香,锦江区,9.1,8.4,8.9,98802571,50
宽来火锅,121,四川火锅,高新区,8.4,9.2,8.6,104633774,45
叼嘴撸串,61,串串香,建设路,8.5,8.7,9.1,129917270,45
乐山胖哥跷脚牛肉,50,汤锅,望平街,9.2,8.8,9.1,92384680,50
牛华八婆麻辣烫,73,串串香,春熙路,9.0,9.0,9.1,102351305,45
雍容荟·海鲜姿造,350,自助餐,高新区,8.4,8.6,8.6,77291391,45
岘港•越南料理,75,东南亚菜,春熙路,8.9,9.1,8.9,130343969,45
柴门饭儿,93,川菜家常菜,大慈寺,8.3,9.0,8.3,22989026,45
大鸭梨烤鸭店,122,烤鸭,高新区,8.4,8.9,8.3,123311976,45
大龙燚火锅,95,四川火锅,春熙路,9.1,9.1,9.1,75141698,50
小龙翻大江火锅酒楼,135,四川火锅,宽窄巷子,9.0,9.3,9.0,47008792,50
萬得冰田,39,甜品,建设路,8.2,7.8,7.8,93794957,40
老黄记手撕烤兔·始于2002年,51,兔头/兔丁,玉林,8.8,7.7,8.0,4131157,45
花嘴巴麻辣烫,65,串串香,望平街,8.8,7.9,8.4,103480590,45
朴田泰式海鲜火锅,139,泰式火锅,科华北路,9.1,9.3,9.1,59039228,50
海底捞火锅,110,四川火锅,高新区,9.0,9.2,9.3,102198946,50
红虾社·小龙虾生蚝烤鱼,133,小龙虾,春熙路,8.9,9.0,9.0,91597790,50
瓦烤·烧烤界扛把子,68,烤串,高新区,9.2,9.0,9.3,130946881,50
绿源盒Wholesome Food Co.,49,西餐,高新区,9.0,8.5,9.2,111790112,50
玥轩中餐厅,178,粤菜馆,春熙路,8.9,9.2,8.9,22948402,45
悦百味品质川菜,124,川菜家常菜,高新区,9.0,9.3,9.2,101894989,50
甜心闲生传统手工冰粉,19,茶饮果汁,宽窄巷子,8.6,8.8,8.8,130758513,45
爸爸炒料牛排老火锅,84,重庆火锅,一品天下大街,8.5,8.9,8.3,113930279,45
霸王虾·成都招牌小龙虾,150,小龙虾,天府新区,8.1,8.0,8.0,65696914,40
uncle戴龙虾馆,132,小龙虾,桐梓林,8.3,8.3,8.3,98322787,40
和幸,80,日本料理,春熙路,8.9,9.1,9.2,2489593,50
青丘花园民宿餐厅,156,泰式火锅,三圣乡,8.3,9.0,8.3,125344722,45
大德会席,1821,日本料理,大慈寺,8.5,9.0,9.0,63187120,45
酒窝烧鸟,130,日式烧烤/烤肉,科华北路,8.3,8.1,8.1,106205428,40
得劲儿焖烤肉串,80,烤串,万年场,8.8,8.5,9.1,72343229,45
德门·Diamond,484,私房菜,桐梓林,9.3,9.3,9.4,130116378,50
马路边边麻辣烫,74,串串香,磨子桥,8.9,8.3,8.6,73592811,45
味之绝美蛙鱼头火锅,78,鱼火锅,科华北路,9.1,8.6,9.1,13837558,50
夜猫子夜市,35,小吃,宽窄巷子,7.9,7.5,7.7,83587398,40
逍遥烫特色串串,79,串串香,宽窄巷子,9.1,9.1,9.1,94878652,50
奈雪の茶,35,面包甜点,春熙路,8.4,8.7,8.5,126083833,45
渝九香川菜馆,63,川菜家常菜,玉林,9.0,8.3,8.9,23221460,45
巴蜀大宅门火锅,92,重庆火锅,北门大桥,9.1,9.0,9.1,6375717,50
宝炙星BURGER AUSTINE,64,西餐,桐梓林,8.9,8.3,8.9,111483429,45
呼吉牧小龙虾烤肉,114,小龙虾,武侯区,8.9,8.6,8.5,51216394,45
盤飧市,63,川菜家常菜,春熙路,8.4,8.0,7.7,525994,45
电台巷火锅,88,重庆火锅,科华北路,8.1,7.9,7.8,90051880,40
鱼桥巷·美学川菜,428,川菜家常菜,杜甫草堂,8.6,9.3,8.8,113889880,50
李不管把把烧,80,融合烤肉,双楠,8.8,8.7,8.8,112229693,45
生如夏花泰式海鲜火锅,129,东南亚菜,高新区,9.1,9.3,9.2,92125806,50
禄合門美蛙火锅,85,鱼火锅,春熙路,9.0,9.0,8.9,110691301,45
唐宫,183,粤菜馆,桐梓林,8.7,8.7,8.3,22227640,45
UG·高宅,188,特色菜,大慈寺,8.2,9.1,8.5,92303482,45
省委机关食堂,28,快餐简餐,人民公园,8.1,7.4,7.4,5433302,40
班花麻辣烫,68,串串香,春熙路,8.8,9.1,9.0,127712698,45
JOY BOX盒里,85,西餐,大慈寺,8.5,8.9,8.5,76734198,45
浪起把把烧,69,烤串,望平街,8.6,9.1,9.1,127971532,45
易老妈蹄花,57,蹄花,人民公园,7.8,7.4,7.6,18567513,40
等风来餐厅,154,东南亚菜,龙泉驿区,6.8,8.4,7.3,130305281,35
九久鲜锅菜·地道川菜代表,50,川菜家常菜,春熙路,9.2,8.5,9.1,96588530,50
姜虎东白丁烤肉,129,韩国料理,春熙路,8.3,8.5,8.4,38204703,40
乐山鲜知味钵钵鸡,33,钵钵鸡,杜甫草堂,8.5,7.2,7.7,3651508,45
FIELDS AVANT 十域·臻选,163,西餐,高新区,8.8,9.3,9.1,102682342,50
熹面,32,粉面馆,桐梓林,8.8,9.2,9.2,129292889,45
川西坝子,108,四川火锅,杜甫草堂,9.0,9.2,9.1,67997136,50
阿卡AK.Lab洋风韩国料理,101,韩国料理,楚河汉街,9.0,9.2,9.2,126295902,50
小川料理,95,日本料理,江汉路步行街,9.1,9.1,9.2,108213628,50
仙隐小鹿台式日料,94,日本料理,江汉路步行街,9.2,9.3,9.4,130086979,50
LELECHA乐乐茶,37,茶饮果汁,楚河汉街,9.0,9.0,8.7,128375303,45
吉祥·盛筵艺术海鲜姿造,384,自助餐,百步亭/二七,8.5,9.0,8.8,129844193,45
老九巷川小馆,72,川菜家常菜,万松园,9.1,9.2,9.3,129781640,50
一棠龙虾,156,小龙虾,解放公园,9.0,9.1,8.9,65605391,50
夏氏砂锅,81,湖北菜/家常菜,万松园,9.0,8.8,8.7,549463,45
K'COOK概念韩餐,121,韩国料理,鹦鹉大道,9.0,9.1,9.1,71542198,45
速度披萨,96,西餐,江汉区,8.8,9.1,9.1,126943481,45
小民大排档,74,快餐简餐,江汉路步行街,8.2,7.6,7.8,127149063,40
天天红油赵师傅热干面,14,热干面,司门口,8.6,7.5,7.7,2356225,45
乔叶龙老武汉烧烤,65,烧烤,楚河汉街,8.4,8.5,8.3,126370536,40
仙人寿司·精致料理专门店,93,日本料理,江汉路步行街,9.1,9.1,9.2,102355904,50
靓靓蒸虾,150,小龙虾,万松园,9.1,8.5,8.7,2780647,50
金马门国际美食百汇,152,自助餐,广埠屯,8.7,8.8,8.6,2935540,45
黄氏许牛奶甜品专家,29,甜品,江汉路步行街,8.4,8.1,8.2,98782120,40
利友诚老武汉味道,82,湖北菜/家常菜,港澳台风情街,8.3,8.9,8.4,126161497,45
双喜海鲜大排档,99,海鲜,江汉路步行街,8.7,8.7,8.6,130016636,45
火瀑椒麻火锅,91,四川火锅,江汉路步行街,9.1,9.2,9.2,114796003,50
板板水货老武汉街边味道,55,湖北菜/家常菜,江汉路步行街,9.1,9.0,9.0,111912227,50
伍界烤串之土城,65,烤串,王家湾,8.7,6.8,7.3,123602891,40
天下方掌柜武昌鱼,81,湖北菜/家常菜,阅马场,9.2,9.2,9.1,97420848,50
鸟地方烧鸟屋,109,日本料理,楚河汉街,8.9,8.9,8.8,130599453,45
么肆烤肉,78,融合烤肉,楚河汉街,9.1,9.1,9.1,129295774,50
融厨·湖北菜铫子藕汤,73,湖北菜/家常菜,江汉路商圈,9.1,9.2,9.1,128523373,50
啤契精酿啤酒の芬可兒咖啡,155,西餐,客运港/江滩,8.8,9.0,9.0,90571526,45
苏梅花园,104,东南亚菜,楚河汉街,8.8,9.1,8.8,98114223,45
来菜·铫子煨藕,67,湖北菜/家常菜,石牌岭/街道口,9.0,9.0,8.9,111779425,45
肥肥虾庄,139,小龙虾,石牌岭/街道口,9.1,8.7,8.7,3232363,50
曼谷五巷·泰式餐厅,102,东南亚菜,楚河汉街,9.1,9.2,9.2,126283213,50
泰荃泰式茶餐厅,103,东南亚菜,石牌岭/街道口,9.0,9.2,9.1,130475208,50
辣螃蟹,110,海鲜火锅,江汉路步行街,9.1,9.1,9.2,121715275,50
三镇卤货二公司,51,湖北菜/家常菜,楚河汉街,9.0,9.0,9.1,110678753,50
集渔·泰式海鲜火锅,124,泰式火锅,西北湖,8.7,9.1,8.7,124161114,45
Little Chihuahua奇瓦瓦墨西哥休闲餐厅,89,西餐,西北湖,9.0,9.1,9.0,92361029,50
意大利奢侈品TRUSSARDI餐厅,383,西餐,楚河汉街,8.9,9.1,9.2,102705492,50
無境·匠心日本料理,136,日本料理,楚河汉街,9.0,9.2,9.1,110816944,50
苹果妹手工冰粉,16,小吃快餐,江汉路步行街,8.5,8.0,8.9,101953768,45
極上馆,388,日式自助,解放公园,9.1,9.2,9.1,96060193,50
八筒火锅,126,四川火锅,百步亭/二七,9.1,9.2,9.1,98457239,50
南大门韩糕,15,面包烘焙,光谷天地,8.5,8.6,8.8,131536309,45
锡林阿玛·冰煮羊火锅,97,牛羊肉火锅,楚河汉街,9.3,9.1,9.2,129758007,50
哈士奇主题餐厅,87,江湖菜,江汉路步行街,8.0,9.1,9.2,129375421,45
巷林烤肉,80,融合烤肉,楚河汉街,9.2,9.2,9.2,127975013,50
双宝红油牛系列,63,小吃,六渡桥,8.5,6.8,7.8,2993008,40
甜阿姨私房菜,177,私房菜,楚河汉街,8.9,9.2,9.1,122711091,45
华宁餐厅,96,川菜家常菜,解放公园,8.6,7.5,7.6,11569462,40
只卖生蚝,34,烧烤,西北湖,9.1,8.7,9.1,110449531,50
巴厘龙虾,158,小龙虾,万松园,9.0,8.4,8.5,13913365,45
严老幺烧麦,14,快餐简餐,六渡桥,8.7,7.6,7.8,3666706,45
重庆辣子鱼家常菜,52,川菜家常菜,八大家/红钢城,9.1,7.8,8.3,5674341,45
龜龍片甲,76,湖北菜/家常菜,积玉桥,9.1,9.1,9.0,91383811,50
小仓食べ放题,391,日式自助,武汉商务区,9.0,9.3,9.2,125119112,50
董小婉点心专门店,70,苏浙菜,楚河汉街,9.0,9.0,9.0,130005124,45
江城燕子大排档,74,湖北菜/家常菜,江汉路步行街,9.1,9.0,8.7,129778871,45
行·者欢喜小院,129,湖北菜/家常菜,武昌区,8.2,9.1,8.6,101964318,45
鮨一日本料理,1739,日本料理,解放公园,9.3,9.2,9.3,96719151,50
史记记忆火锅,72,重庆火锅,光谷/鲁巷,9.2,9.2,9.2,97491813,50
俄士厨房,102,西餐,石牌岭/街道口,9.1,9.3,9.2,91669175,50
L'amour澜茉·餐厅 轻法餐,283,西餐,客运港/江滩,8.7,9.4,9.1,98462591,50
纯坊食品宫廷糕点,19,面包烘焙,石牌岭/街道口,8.7,8.3,9.0,98430377,45
蓉城小生,45,川菜家常菜,江汉路步行街,9.1,9.2,9.1,130310376,50
香港稻香海鲜点心酒家,83,粤菜馆,楚河汉街,8.8,9.0,8.5,6323247,45
喜茶,30,茶饮果汁,武汉广场,9.0,8.8,8.7,129656801,45
香钿创意楚菜,95,湖北菜/家常菜,楚河汉街,8.8,9.2,8.9,20874703,45
翠小小啫啫煲,90,粤菜馆,南湖花园,8.5,9.0,8.8,129108511,45
大兴糕团,32,面包烘焙,楚河汉街,8.8,9.0,9.1,130465796,45
四海一家国际美食之都,173,自助餐,武汉广场,7.7,8.5,8.2,5248693,40
湖滨客舍,304,湖北菜/家常菜,水果湖,8.5,9.2,8.6,4542910,45
辣吗私厨,76,川菜家常菜,江汉路步行街,9.0,8.8,9.0,64058239,45
